Date,Open,High,Low,Close,Volume
30-Dec-16,2.95,3.00,2.90,2.90,29719
29-Dec-16,3.00,3.05,2.95,3.00,86421
28-Dec-16,3.00,3.05,2.95,2.95,60619
27-Dec-16,3.00,3.00,2.95,3.00,37914
23-Dec-16,2.90,3.00,2.90,3.00,39562
22-Dec-16,2.95,3.00,2.85,2.95,44508
21-Dec-16,3.00,3.00,2.95,2.95,56084
20-Dec-16,2.95,3.00,2.95,3.00,108921
19-Dec-16,2.85,3.00,2.70,2.95,89709
16-Dec-16,2.85,2.90,2.75,2.85,81508
15-Dec-16,2.85,2.90,2.80,2.80,47192
14-Dec-16,2.95,2.95,2.80,2.80,45841
13-Dec-16,2.95,2.95,2.80,2.90,61884
12-Dec-16,3.00,3.00,2.90,2.90,26470
9-Dec-16,2.90,3.00,2.90,3.00,21740
8-Dec-16,2.95,3.00,2.82,3.00,54275
7-Dec-16,2.95,3.05,2.90,2.90,52379
6-Dec-16,3.00,3.00,2.80,2.95,30145
5-Dec-16,3.00,3.00,2.90,2.95,270834
2-Dec-16,2.95,3.00,2.80,2.90,14650
1-Dec-16,2.90,3.00,2.85,2.90,17362
30-Nov-16,3.00,3.00,2.85,2.90,16704
29-Nov-16,3.00,3.00,2.90,2.95,5863
28-Nov-16,2.97,3.00,2.95,3.00,65228
25-Nov-16,3.05,3.05,2.95,3.00,4842
23-Nov-16,2.95,2.95,2.80,2.90,7141
22-Nov-16,2.80,2.95,2.60,2.90,10855
21-Nov-16,2.80,3.00,2.71,2.75,9200
18-Nov-16,2.75,3.00,2.55,2.75,47904
17-Nov-16,2.90,2.90,2.60,2.70,139351
16-Nov-16,2.95,2.95,2.70,2.85,17730
15-Nov-16,3.00,3.00,2.90,2.95,8653
14-Nov-16,3.20,3.35,2.90,3.00,63251
11-Nov-16,2.65,3.10,2.46,3.00,77573
10-Nov-16,2.65,2.66,2.40,2.60,30061
9-Nov-16,2.55,2.65,2.50,2.60,30050
8-Nov-16,2.55,2.55,2.47,2.55,14202
7-Nov-16,2.45,2.50,2.45,2.50,11354
4-Nov-16,2.35,2.45,2.05,2.35,166709
3-Nov-16,2.55,2.55,2.30,2.30,45758
2-Nov-16,2.45,2.55,2.26,2.45,20744
1-Nov-16,2.50,2.55,2.45,2.45,20289
31-Oct-16,2.50,2.65,2.45,2.50,21221
28-Oct-16,2.50,2.56,2.45,2.55,27683
27-Oct-16,2.65,2.65,2.45,2.50,27888
26-Oct-16,2.65,2.65,2.55,2.55,14954
25-Oct-16,2.50,2.60,2.50,2.55,18289
24-Oct-16,2.60,2.60,2.45,2.60,37590
21-Oct-16,2.45,2.55,2.35,2.50,30545
20-Oct-16,2.35,2.55,2.35,2.50,7417
19-Oct-16,2.45,2.58,2.40,2.50,45234
18-Oct-16,2.45,2.50,2.30,2.40,94906
17-Oct-16,2.50,2.55,2.45,2.45,19527
14-Oct-16,2.67,2.67,2.53,2.58,24102
13-Oct-16,2.72,2.74,2.67,2.67,11848
12-Oct-16,2.73,2.83,2.65,2.72,60298
11-Oct-16,2.82,2.82,2.68,2.71,46479
10-Oct-16,2.84,2.89,2.77,2.85,40604
7-Oct-16,2.89,2.89,2.77,2.83,18097
6-Oct-16,3.01,3.04,2.87,2.96,30469
5-Oct-16,2.99,3.00,2.94,2.95,10622
4-Oct-16,3.05,3.06,2.92,2.94,18955
3-Oct-16,3.02,3.09,2.98,3.06,20504
30-Sep-16,3.01,3.10,2.99,3.03,30431
29-Sep-16,3.05,3.05,2.95,2.97,13095
28-Sep-16,2.95,3.13,2.95,3.05,59531
27-Sep-16,2.95,2.99,2.95,2.96,43631
26-Sep-16,2.95,3.01,2.95,2.97,21395
23-Sep-16,3.09,3.11,2.99,2.99,20713
22-Sep-16,3.14,3.20,3.09,3.12,31521
21-Sep-16,3.20,3.21,3.10,3.15,39686
20-Sep-16,3.23,3.25,3.02,3.20,49576
19-Sep-16,3.07,3.40,2.92,3.16,53619
16-Sep-16,3.08,3.14,3.00,3.08,125749
15-Sep-16,3.04,3.14,2.95,3.00,16138
14-Sep-16,3.17,3.17,2.92,3.00,25663
13-Sep-16,3.26,3.26,3.08,3.10,18141
12-Sep-16,3.18,3.30,3.14,3.25,20029
9-Sep-16,3.27,3.32,3.18,3.19,29614
8-Sep-16,3.45,3.48,3.35,3.38,28565
7-Sep-16,3.48,3.48,3.41,3.45,27193
6-Sep-16,3.49,3.49,3.42,3.45,13446
2-Sep-16,3.49,3.49,3.42,3.46,38638
1-Sep-16,3.49,3.49,3.42,3.46,17796
31-Aug-16,3.48,3.49,3.32,3.46,45230
30-Aug-16,3.39,3.45,3.18,3.44,54919
29-Aug-16,3.34,3.38,3.15,3.35,35472
26-Aug-16,3.39,3.40,3.28,3.30,17544
25-Aug-16,3.43,3.43,3.33,3.38,16319
24-Aug-16,3.48,3.50,3.31,3.42,19440
23-Aug-16,3.46,3.50,3.04,3.48,31675
22-Aug-16,3.47,3.49,3.26,3.46,15694
19-Aug-16,3.43,3.49,3.35,3.48,58950
18-Aug-16,3.43,3.48,3.27,3.43,96301
17-Aug-16,3.41,3.41,3.33,3.41,13816
16-Aug-16,3.31,3.40,3.26,3.39,49071
15-Aug-16,3.30,3.38,3.25,3.30,89950
12-Aug-16,3.34,3.38,3.25,3.30,26873
11-Aug-16,3.32,3.40,3.30,3.38,98929
10-Aug-16,3.22,3.35,3.17,3.31,343530
9-Aug-16,3.27,3.29,3.13,3.21,34980
8-Aug-16,3.31,3.35,3.25,3.28,67976
5-Aug-16,3.20,3.40,3.17,3.29,588838
4-Aug-16,3.03,3.24,3.03,3.15,33451
3-Aug-16,3.01,3.07,2.93,3.02,24584
2-Aug-16,3.10,3.19,2.99,2.99,20671
1-Aug-16,3.20,3.22,3.05,3.08,15341
29-Jul-16,3.22,3.23,3.03,3.20,28513
28-Jul-16,3.11,3.26,3.10,3.19,23053
27-Jul-16,3.16,3.26,3.11,3.16,19268
26-Jul-16,3.20,3.28,3.04,3.13,86562
25-Jul-16,3.10,3.20,3.08,3.19,75366
22-Jul-16,3.17,3.28,3.04,3.07,66748
21-Jul-16,3.14,3.22,2.99,3.21,59704
20-Jul-16,3.11,3.19,3.02,3.05,68091
19-Jul-16,3.04,3.16,3.02,3.08,63646
18-Jul-16,3.14,3.22,3.01,3.05,83155
15-Jul-16,3.13,3.29,3.10,3.18,79883
14-Jul-16,3.28,3.47,3.00,3.09,88214
13-Jul-16,3.27,3.35,3.12,3.26,89901
12-Jul-16,3.18,3.30,3.16,3.25,75015
11-Jul-16,3.26,3.32,2.78,3.22,130537
8-Jul-16,3.25,3.31,2.87,3.23,126732
7-Jul-16,3.13,3.30,3.12,3.22,106939
6-Jul-16,3.36,3.36,3.07,3.24,78467
5-Jul-16,3.37,3.56,3.07,3.30,201750
1-Jul-16,3.38,3.39,3.11,3.25,112345
30-Jun-16,3.28,3.28,3.12,3.19,208739
29-Jun-16,3.05,3.31,3.05,3.24,150022
28-Jun-16,2.80,3.08,2.73,3.05,757713
27-Jun-16,2.75,3.02,2.55,2.93,201114
24-Jun-16,2.93,3.13,2.76,2.87,2075587
23-Jun-16,3.05,3.20,3.00,3.10,139121
22-Jun-16,3.08,3.22,2.98,3.09,166350
21-Jun-16,2.97,3.08,2.85,3.07,80017
20-Jun-16,2.96,3.05,2.85,2.91,82815
17-Jun-16,2.81,3.05,2.71,2.95,203138
16-Jun-16,2.84,2.95,2.66,2.75,121823
15-Jun-16,2.95,2.99,2.83,2.86,50106
14-Jun-16,2.72,2.97,2.65,2.90,85227
13-Jun-16,2.50,2.80,2.50,2.72,37885
10-Jun-16,2.59,2.64,2.42,2.51,16210
9-Jun-16,2.74,2.74,2.49,2.66,67492
8-Jun-16,2.63,2.74,2.53,2.65,8909
7-Jun-16,2.57,2.80,2.57,2.69,47211
6-Jun-16,2.64,2.77,2.60,2.60,10632
3-Jun-16,2.65,2.90,2.55,2.67,49712
2-Jun-16,2.78,2.92,2.65,2.67,40425
1-Jun-16,2.79,2.84,2.62,2.78,105058
31-May-16,2.71,2.95,2.70,2.71,340838
27-May-16,2.76,2.84,2.62,2.77,123559
26-May-16,2.90,2.92,2.61,2.61,41721
25-May-16,2.32,2.95,2.32,2.82,166090
24-May-16,2.30,2.42,2.29,2.33,19592
23-May-16,2.34,2.37,2.29,2.30,6609
20-May-16,2.30,2.30,2.17,2.25,5112
19-May-16,2.18,2.31,2.15,2.25,9554
18-May-16,2.25,2.36,2.15,2.18,6044
17-May-16,2.34,2.53,2.15,2.26,28308
16-May-16,2.24,2.49,2.24,2.34,5975
13-May-16,2.50,2.60,2.20,2.31,47822
12-May-16,2.51,2.60,2.45,2.47,37970
11-May-16,2.44,2.55,2.44,2.54,17676
10-May-16,2.32,2.48,2.32,2.42,13734
9-May-16,2.41,2.44,2.28,2.28,11814
6-May-16,2.53,2.55,2.35,2.41,28010
5-May-16,2.19,2.54,2.16,2.52,194330
4-May-16,2.40,2.40,2.00,2.16,73371
3-May-16,2.19,2.42,2.13,2.20,21289
2-May-16,2.27,2.38,2.12,2.13,29800
29-Apr-16,2.06,2.35,2.06,2.22,27741
28-Apr-16,1.97,2.50,1.97,2.12,20563
27-Apr-16,1.97,2.14,1.91,1.91,36557
26-Apr-16,1.86,2.00,1.86,2.00,5771
25-Apr-16,1.83,2.01,1.81,1.97,24368
22-Apr-16,1.94,2.01,1.75,1.97,53321
21-Apr-16,1.86,1.91,1.75,1.88,97092
20-Apr-16,1.89,1.91,1.81,1.81,7064
19-Apr-16,1.90,2.01,1.74,1.87,608970
18-Apr-16,1.65,1.95,1.65,1.88,358417
15-Apr-16,1.59,1.68,1.56,1.60,65079
14-Apr-16,1.45,1.59,1.45,1.57,57301
13-Apr-16,1.38,1.56,1.38,1.42,36087
12-Apr-16,1.49,1.54,1.44,1.47,29952
11-Apr-16,1.42,1.56,1.42,1.46,12675
8-Apr-16,1.31,1.51,1.29,1.40,53276
7-Apr-16,1.31,1.36,1.31,1.32,19501
6-Apr-16,1.50,1.51,1.26,1.29,73026
5-Apr-16,1.40,1.52,1.40,1.49,10522
4-Apr-16,1.48,1.54,1.40,1.41,5427
1-Apr-16,1.48,1.56,1.46,1.47,10252
31-Mar-16,1.45,1.54,1.42,1.42,10451
30-Mar-16,1.35,1.56,1.35,1.52,64423
29-Mar-16,1.45,1.59,1.40,1.42,6704
28-Mar-16,1.51,1.55,1.44,1.44,6076
24-Mar-16,1.44,1.59,1.44,1.53,859
23-Mar-16,1.51,1.57,1.42,1.42,12826
22-Mar-16,1.60,1.60,1.42,1.50,22804
21-Mar-16,1.61,1.61,1.42,1.47,4159
18-Mar-16,1.45,1.57,1.45,1.47,33757
17-Mar-16,1.54,1.59,1.41,1.45,23871
16-Mar-16,1.38,1.70,1.36,1.52,176081
15-Mar-16,1.48,1.54,1.42,1.44,10359
14-Mar-16,1.47,1.47,1.39,1.43,4133
11-Mar-16,1.41,1.50,1.39,1.48,17313
10-Mar-16,1.38,1.40,1.32,1.38,21149
9-Mar-16,1.33,1.34,1.29,1.29,4910
8-Mar-16,1.30,1.37,1.26,1.28,10051
7-Mar-16,1.39,1.39,1.27,1.27,12464
4-Mar-16,1.34,1.40,1.28,1.29,17462
3-Mar-16,1.41,1.42,1.30,1.31,7436
2-Mar-16,1.41,1.41,1.37,1.38,3917
1-Mar-16,1.36,1.41,1.32,1.40,10493
29-Feb-16,1.35,1.39,1.29,1.35,13487
26-Feb-16,1.25,1.39,0.98,1.34,138334
25-Feb-16,1.35,1.35,1.12,1.17,30719
24-Feb-16,1.38,1.43,1.35,1.35,9618
23-Feb-16,1.47,1.49,1.37,1.37,8497
22-Feb-16,1.46,1.46,1.41,1.41,8503
19-Feb-16,1.37,1.52,1.35,1.36,15480
18-Feb-16,1.38,1.53,1.22,1.38,12339
17-Feb-16,1.42,1.46,1.40,1.40,13723
16-Feb-16,1.59,1.59,1.37,1.50,8099
12-Feb-16,1.30,1.54,1.30,1.43,12824
11-Feb-16,1.17,1.36,1.16,1.27,10263
10-Feb-16,1.23,1.24,1.18,1.19,57228
9-Feb-16,1.25,1.25,1.16,1.20,68692
8-Feb-16,1.39,1.39,1.12,1.21,72111
5-Feb-16,1.44,1.58,1.39,1.39,5580
4-Feb-16,1.38,1.47,1.38,1.45,17039
3-Feb-16,1.41,1.41,1.38,1.40,10894
2-Feb-16,1.42,1.46,1.38,1.40,27914
1-Feb-16,1.43,1.59,1.42,1.43,21595
29-Jan-16,1.56,1.60,1.44,1.44,19101
28-Jan-16,1.52,1.55,1.45,1.54,50855
27-Jan-16,1.51,1.54,1.42,1.50,19036
26-Jan-16,1.41,1.52,1.41,1.51,17671
25-Jan-16,1.47,1.47,1.41,1.41,11398
22-Jan-16,1.46,1.50,1.39,1.50,12212
21-Jan-16,1.38,1.50,1.37,1.45,8550
20-Jan-16,1.36,1.50,1.35,1.40,47879
19-Jan-16,1.43,1.43,1.36,1.39,15537
15-Jan-16,1.34,1.42,1.31,1.38,33655
14-Jan-16,1.39,1.40,1.30,1.38,47799
13-Jan-16,1.48,1.50,1.40,1.42,112656
12-Jan-16,1.51,1.63,1.48,1.48,9399
11-Jan-16,1.55,1.59,1.46,1.50,31166
8-Jan-16,1.63,1.65,1.52,1.53,38826
7-Jan-16,1.62,1.64,1.56,1.63,43834
6-Jan-16,1.63,1.66,1.62,1.63,16399
5-Jan-16,1.68,1.68,1.63,1.63,42070
4-Jan-16,1.75,1.75,1.63,1.64,395144
31-Dec-15,1.69,1.72,1.68,1.72,19131
